id,fold,sample,veh_value,exposure,veh_age,agecat,max_power,driving_history_score,e_bill,trm_len,credit_score,low_education_ind,clm,numclaims,claimcst0,gender_f,gender_m,time_of_week_driven_weekday,time_of_week_driven_weekend,area_a,area_b,area_c,area_d,area_e,area_f,marital_status_m,marital_status_s,engine_type_dissel,engine_type_electric,engine_type_hybrid,engine_type_petrol,time_driven_12am6am,time_driven_12pm6pm,time_driven_6am12pm,time_driven_6pm12am,veh_color_black,veh_color_blue,veh_color_brown,veh_color_gray,veh_color_green,veh_color_red,veh_color_silver,veh_color_white,veh_color_yellow,veh_body_bus,veh_body_convt,veh_body_coupe,veh_body_hdtop,veh_body_mcara,veh_body_mibus,veh_body_panvn,veh_body_rdstr,veh_body_sedan,veh_body_stnwg,veh_body_suv,veh_body_truck,veh_body_ute
1,2,1|bld,5.800000000000001,0.362190934,2,1,161,73.0,0,6,646.516468959908,0.0,1,1,2023.198184,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,3,1|bld,5.67,0.632068296,4,2,100,88.0,0,12,635.4003694635038,0.0,1,1,3600.1722339999997,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3,1,1|bld,5.9,0.36746022,2,2,74,55.0,0,12,646.4631312352559,0.0,1,1,2021.144067,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4,2,1|bld,4.790000000000001,0.802184035,3,4,121,98.0,1,12,645.5987936458331,0.0,1,1,4006.845492,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5,2,1|bld,6.680000000000001,0.485009058,3,1,75,66.0,0,12,657.3486121946447,0.0,1,1,2542.953931,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6,2,1|bld,4.5600000000000005,0.945653025,1,1,101,106.0,1,12,648.5957345781595,1.0,1,1,4216.310125,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7,3,1|bld,6.430000000000001,0.853331382,4,2,226,102.0,1,12,641.4572146319845,1.0,1,1,4058.602445,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
8,1,1|bld,6.16,0.648294738,1,4,86,55.0,1,12,639.2014502275869,0.0,1,1,3527.8550910000004,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
9,3,1|bld,6.390000000000001,0.383726231,2,4,95,98.0,1,12,643.6053452139595,0.0,1,1,2002.774201,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
10,4,2|val,6.49,0.746884135,4,2,267,74.0,0,12,648.1363547858149,0.0,1,1,3906.881054,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
11,2,1|bld,6.34,0.377110493,4,4,248,84.0,0,6,648.015660479657,0.0,1,1,2021.467231,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
12,1,1|bld,5.24,0.798147566,4,1,126,120.0,0,12,662.5343319694516,0.0,1,1,3588.592127,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,2,1|bld,5.5600000000000005,0.485965743,1,5,76,111.0,0,6,640.6007489578296,1.0,1,1,2429.864858,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
14,4,2|val,6.5600000000000005,0.848036081,3,4,129,59.0,1,12,654.6862051761476,0.0,1,1,4260.552605,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
15,4,2|val,6.09,0.3565439975,2,1,122,62.0,1,6,642.8429432574177,0.0,1,1,2056.330796,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
16,2,1|bld,3.84,0.816822092,3,1,138,56.0,1,12,643.6883787333937,0.0,1,1,4713.809284999999,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
17,1,1|bld,3.5100000000000007,0.842264353,2,4,110,107.0,1,12,640.0560071390347,1.0,1,1,4283.724092,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
18,1,1|bld,3.87,0.999323342,1,2,208,120.0,1,12,642.0443592230812,1.0,1,1,3990.50539,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,4,2|val,7.13,0.896205855,4,3,115,83.0,1,12,655.7338989944487,0.0,1,1,4756.658716,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20,3,1|bld,5.880000000000001,0.847057285,4,3,277,74.0,1,12,642.4686817622343,0.0,1,1,4573.033445,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
21,2,1|bld,5.98,0.305243731,2,1,136,103.0,0,6,641.8797743917615,0.0,1,1,2102.737282,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
22,2,1|bld,5.6000000000000005,0.735371574,4,4,188,71.0,0,12,644.8391792006959,0.0,1,1,4181.198503,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23,2,1|bld,4.98,0.858436385,3,5,127,115.0,0,12,656.8206502979498,0.0,1,1,3932.77235,True,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24,1,1|bld,5.98,0.395132021,2,4,95,100.0,1,6,643.9246877628967,0.0,1,1,2142.930175,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
25,4,2|val,6.37,0.401095894,3,3,183,63.0,0,12,642.5239233710312,0.0,1,1,2347.028119,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
26,4,2|val,5.0,0.744177781,3,2,155,74.0,0,12,654.4587079803767,0.0,1,1,3843.550145,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27,3,1|bld,5.95,0.676406179,3,2,129,77.0,1,12,633.9448944895106,0.0,1,1,3632.123494,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
28,2,1|bld,1.8500000000000003,0.964230091,1,6,112,102.0,1,12,640.012065334105,1.0,1,1,4241.361275,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
29,1,1|bld,6.050000000000001,0.991231851,3,5,110,80.0,1,12,646.1302694999514,1.0,1,1,5825.740709000001,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30,2,1|bld,6.5600000000000005,0.706479639,4,3,197,75.0,1,12,640.6380163082382,0.0,1,1,3540.452356,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
31,1,1|bld,6.75,0.425290028,3,1,152,93.0,1,12,640.2044695128186,0.0,1,1,2314.691121,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
32,4,2|val,6.130000000000001,0.8968974,3,4,213,93.0,1,12,644.3898819356817,1.0,1,1,4281.441775,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
33,4,2|val,6.42,0.974123917,3,2,184,95.0,1,12,660.989617351408,1.0,1,1,4618.196649,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
34,1,1|bld,6.300000000000001,0.827622104,3,2,184,57.0,1,12,663.0891266521792,0.0,1,1,4341.766331,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35,4,2|val,6.17,0.824126615,2,5,101,117.0,1,12,642.7069666184917,0.0,1,1,4160.193278,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
36,1,1|bld,3.4400000000000004,0.853350702,3,4,189,81.0,1,12,675.1706931719897,0.0,1,1,4152.930829,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
37,3,1|bld,5.800000000000001,0.440128088,2,3,157,96.0,1,12,645.3205856815472,0.0,1,1,2356.159931,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
38,1,1|bld,5.800000000000001,0.4226038405,2,3,78,106.0,1,6,641.567341745452,1.0,1,1,2124.873061,False,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
39,4,2|val,6.8100000000000005,0.954126519,4,3,221,81.0,1,12,641.3475598517056,1.0,1,1,5642.523295,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
40,1,1|bld,5.45,0.744047385,3,5,110,64.0,1,12,649.9460986271515,0.0,1,1,4049.930534,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
41,2,1|bld,5.220000000000001,0.941399859,3,3,93,60.0,0,12,648.9662040869492,1.0,1,1,4687.000918,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
42,4,2|val,7.0600000000000005,0.99933439,4,4,195,82.0,0,12,642.1361581771598,1.0,1,1,4995.089948,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
43,4,2|val,5.43,0.412244478,2,1,134,65.0,1,12,655.7944107386145,0.0,1,1,2290.813354,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
44,4,2|val,6.19,0.490076315,2,6,190,91.0,1,12,645.7242393255254,0.0,1,1,2426.4764299999997,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
45,2,1|bld,6.800000000000001,0.560896563,3,6,142,104.0,0,12,663.9836594260213,0.0,1,1,3388.415392,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
46,3,1|bld,5.45,0.81243191,4,3,123,68.0,1,12,634.5211988695647,0.0,1,1,4745.091294,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
47,4,2|val,4.17,0.84440063,1,3,121,109.0,0,12,642.6232528983084,1.0,1,1,4348.798457,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
48,3,1|bld,6.0,0.477759658,3,3,103,102.0,0,12,637.9799097678451,0.0,1,1,2352.980935,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
49,3,1|bld,5.24,0.599815433,2,5,199,73.0,0,12,651.4585326544482,0.0,1,1,4011.46246,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50,4,2|val,5.890000000000001,0.4488747195,2,6,97,83.0,0,6,722.237528977643,1.0,1,1,2336.390302,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
51,2,1|bld,5.67,0.750463546,3,3,103,86.0,1,12,655.8344987674237,0.0,1,1,3700.462949,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
52,2,1|bld,4.18,0.3789185905,2,5,103,84.0,1,6,656.0763593755547,0.0,1,1,2036.50924,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
53,1,1|bld,3.41,0.724639633,2,4,100,63.0,1,12,644.4570276996458,0.0,1,1,4457.394339,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
54,1,1|bld,2.6500000000000004,0.38016847,1,3,166,65.0,1,12,648.6307406000991,0.0,1,1,2106.198866,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
